tier_id,tier_name,audience,price_usd_mo,billing_model,freshness_delay_s,history_days,max_watchlists,max_aois,max_aoi_km2,alerts_per_day,alert_channels,copilot_msgs_per_day,export_formats,export_max_rows,api_req_per_day,collaboration,support_sla,compliance_features
free,Free / Public,Civilians / students / casual readers,0,free,900,7,1,1,100,5,email,5,png,0,0,none,community,standard
observer,Observer,Journalists / NGOs (light) / researchers,12,self-serve,300,30,5,5,500,50,"email,telegram",50,"png,csv",1000,1000,none,email-best-effort,standard
pro,Pro,OSINT analysts / investigators,49,self-serve,30,365,25,25,1000,500,"email,telegram,slack,discord",500,"png,csv,json,geojson,pdf",100000,50000,solo-case-files,email-best-effort,standard
pro-plus,Pro+,Heavy analysts / freelance intel,119,self-serve,30,1095,100,100,5000,5000,"email,telegram,slack,discord,webhooks",2000,"png,csv,json,geojson,pdf,custom-branding",unlimited,500000,share-view-only,chat-1-business-day,standard
team,Team,Newsroom desks / NGO cells / small intel firms,399,self-serve,30,unlimited,500,500,10000,50000,"email,telegram,slack,discord,webhooks",shared,"png,csv,json,geojson,pdf,scheduled,s3-push",unlimited,2000000,full-collab-comments-mentions,chat-1-business-day,standard-soc2
business,Business,Intel firms / finance desks / security vendors,2000,sales-led,30,unlimited,2000,2000,50000,unlimited,"email,telegram,slack,discord,webhooks,dedicated-lane",priority-queue,"png,csv,json,geojson,pdf,scheduled,s3-push,raw-archive",unlimited,20000000,case-approvals-rbac-audit-log,priority-4h-business-hours,sso-saml-scim
enterprise,Enterprise,Defense primes / large corporates / gov-adjacent,custom,sales-led,30,unlimited,unlimited,unlimited,unlimited,unlimited,"email,telegram,slack,discord,webhooks,dedicated-lane",priority-fine-tuned,"png,csv,json,geojson,pdf,scheduled,s3-push,raw-archive",unlimited,custom,case-approvals-rbac-audit-log,dedicated-csm-24x7,sso-saml-scim-audit-export-dpa-baa-regional
gov-defense,Government / Defense,MoDs / MoIs / intel agencies,custom,sales-led,0,unlimited,unlimited,unlimited,unlimited,unlimited,"all-channels",priority-fine-tuned,"all-formats",unlimited,custom,full-enterprise-plus-onprem,dedicated-csm-24x7,sso-saml-scim-audit-export-dpa-baa-itar-ear-airgap
ngo-journalist,NGO / Journalist (granted),Eligible journalists and NGOs by application,0,application,300,365,25,25,1000,500,"email,telegram,slack",500,"png,csv,json,geojson,pdf",100000,50000,share-view-only,email-best-effort,standard
academic,Academic,Universities / research labs,0,application,300,unlimited,25,25,1000,500,"email,telegram",500,"png,csv,json,geojson",100000,50000,solo-case-files,email-best-effort,standard
